,transaction_id,trans_group_en,procedure_name_en,instance_date,property_type_en,property_sub_type_en,property_usage_en,reg_type_en,area_name_en,building_name_en,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,instance_year,instance_month,instance_day,sector_name,area_lat,area_lon
626535,1-102-2015-9590,Sales,Sell - Pre registration,2015-10-22,Unit,Flat,Residential,Off-Plan Properties,Al Barsha South Fourth,MONTE CARLO RESIDENCE,MONTE CARLO RESIDENCES,Jumeirah Village Circle,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1 B/R,1,70.0,715350.0,10219.29,2015.0,10.0,22.0,Central,25.05936493,55.21207713
783461,1-41-2011-575,Sales,Delayed Sell,2011-02-07,Unit,Flat,Residential,Existing Properties,Al Hebiah First,SHAKESPEARE SIRCUS 3,,Motor City,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,2 B/R,1,137.5,710211.0,5165.17,2011.0,2.0,7.0,Central,25.04998492,55.23894687
881992,1-851-2022-121,Sales,Development Registration Pre-Registration,2022-11-01,Villa,Villa,Residential,Off-Plan Properties,Dubai Investment Park First,,Verdana (Phase 1),Dubai Investment Park First,,,,4 B/R,0,78.08,1326500.0,16988.99,2022.0,11.0,1.0,South_west,24.99222384,55.16651934
1158309,1-11-2023-25437,Sales,Sell,2023-08-11,Land,,Residential,Existing Properties,Al Thanayah Fourth,,,Emirates Hills,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,,0,1824.89,32000000.0,17535.3,2023.0,8.0,11.0,Unknown,25.06366745,55.1623514
903752,1-11-2021-7923,Sales,Sell,2021-05-17,Unit,Flat,Residential,Existing Properties,Wadi Al Safa 2,Mazaya 3,QPOINT LIWAN-PLOT R004,Liwan,IMG World Adventures,,,1 B/R,1,86.72,320000.0,3690.04,2021.0,5.0,17.0,Central,25.10606176,55.36153117
957635,2-13-2018-7880,Mortgages,Mortgage Registration,2018-10-09,Unit,Flat,Residential,Existing Properties,Al Hebiah Fourth,ELITE 10 SPORTS RESIDENCE - 2,ELITE 10 SPORTS RESIDENCE,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,77.97,375000.0,4809.54,2018.0,10.0,9.0,Central,25.03502194,55.21354639
121654,1-102-2019-626,Sales,Sell - Pre registration,2019-01-21,Unit,Flat,Residential,Off-Plan Properties,Hadaeq Sheikh Mohammed Bin Rashid,Socio Tower 2,Socio,DUBAI HILLS,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,2 B/R,1,67.54,981850.0,14537.31,2019.0,1.0,21.0,Central,25.1053253,55.26733804
663519,1-11-2022-26481,Sales,Sell,2022-10-27,Land,,Residential,Existing Properties,Al Mamzer,,,,Dubai International Airport,Al Qiyadah Metro Station,,,0,1462.15,6925000.0,4736.18,2022.0,10.0,27.0,Unknown,25.31710909,55.34787801
1220176,1-102-2016-11064,Sales,Sell - Pre registration,2016-08-03,Unit,Flat,Residential,Off-Plan Properties,Al Hebiah Fourth,EAGLE HEIGHTS,EAGLE HEIGHTS,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,81.04,640000.0,7897.33,2016.0,8.0,3.0,Central,25.03502194,55.21354639
225589,1-11-2021-12669,Sales,Sell,2021-07-16,Unit,Shop,Commercial,Existing Properties,Al Warsan First,X-12,,International City Phase 1,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,,0,48.0,305000.0,6354.17,2021.0,7.0,16.0,Unknown,25.1599767,55.4246648
571224,1-102-2023-59366,Sales,Sell - Pre registration,2023-11-08,Unit,Flat,Residential,Off-Plan Properties,Al Merkadh,Wilton Park Residences I,WILTON PARK RESIDENCES ,SOBHA HARTLAND,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Studio,1,50.06,1161828.0,23208.71,2023.0,11.0,8.0,Unknown,25.16984676,55.29268975
428254,1-11-2024-12826,Sales,Sell,2024-04-08,Unit,Flat,Residential,Existing Properties,Me'Aisem First,QASR SABAH 2," QASR SABAH I , II ,III ",International Media Production Zone,Sports City Swimming Academy,Damac Properties,Marina Mall,1 B/R,1,57.75,450000.0,7792.21,2024.0,4.0,8.0,Unknown,25.0177834,55.18312486
88821,1-110-2015-87,Sales,Lease to Own Registration,2015-01-19,Unit,Flat,Residential,Existing Properties,Marsa Dubai,DREAM TOWER,,Dubai Marina,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,1 B/R,1,72.67,1250000.0,17201.05,2015.0,1.0,19.0,Unknown,25.09547176,55.13076456
1334686,2-13-2021-7581,Mortgages,Mortgage Registration,2021-06-22,Building,,Residential / Commercial,Existing Properties,Al Muteena,,,,Dubai International Airport,Salah Al Din Metro Station,Dubai Mall,,0,1974.0,45000000.0,22796.35,2021.0,6.0,22.0,North_west,25.27390336,55.32325227
484342,2-13-2015-3145,Mortgages,Mortgage Registration,2015-05-04,Villa,,Residential,Existing Properties,Mirdif,,,,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,,0,4151.74,30000000.0,7225.89,2015.0,5.0,4.0,North,25.22331903,55.42166405
816030,1-102-2014-9455,Sales,Sell - Pre registration,2014-08-15,Unit,Hotel Apartment,Hospitality ,Off-Plan Properties,Al Hebiah Third,DAMAC HILLS - ARTESIA TOWER B,DAMAC HILLS - ARTESIA,DAMAC HILLS,Motor City,,,Studio,1,43.0,732450.0,17033.72,2014.0,8.0,15.0,Central,25.02147288,55.26216265
1174442,1-102-2010-175,Sales,Sell - Pre registration,2010-09-06,Unit,Flat,Residential,Off-Plan Properties,Marsa Dubai,Marina Pinnacle,MARINA PINNACLE,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,3 B/R,1,175.32,2101242.0,11985.18,2010.0,9.0,6.0,Unknown,25.09547176,55.13076456
483263,1-11-2016-2488,Sales,Sell,2016-03-02,Unit,Flat,Residential,Existing Properties,Marsa Dubai,MARINA PEARL,,Dubai Marina,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,2 B/R,1,112.85,1060000.0,9393.0,2016.0,3.0,2.0,Unknown,25.09547176,55.13076456
1140502,1-11-2023-10829,Sales,Sell,2023-04-12,Villa,,Residential,Existing Properties,Al Thanyah Fifth,,JUMEIRAH PARK ,Jumeirah Park,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,,0,517.87,4650000.0,8979.09,2023.0,4.0,12.0,West,25.051959,55.15578
359021,1-102-2024-78299,Sales,Sell - Pre registration,2024-09-30,Unit,Flat,Residential,Off-Plan Properties,Al Barsha South Fourth,HELVETIA RESIDENCES,HELVETIA RESIDENCES,Jumeirah Village Circle,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,41.15,755629.0,18362.79,2024.0,9.0,30.0,Central,25.05936493,55.21207713
1323035,1-11-2024-40107,Sales,Sell,2024-10-22,Unit,Flat,Residential,Existing Properties,Island 2,BV RESIDENCES 6,BV RESIDENCES,Jumeira Bay,Burj Khalifa,Business Bay Metro Station,Dubai Mall,2 B/R,1,208.57,14799000.0,70954.6,2024.0,10.0,22.0,Unknown,25.1985959,55.2240363
1415746,2-13-2019-580,Mortgages,Mortgage Registration,2019-01-28,Land,,Residential,Existing Properties,Al Aweer First,,,,,,,,0,1227.62,750000.0,610.94,2019.0,1.0,28.0,Unknown,25.18189767,55.54493543
658024,1-102-2020-17036,Sales,Sell - Pre registration,2020-12-31,Villa,Villa,Residential,Off-Plan Properties,Wadi Al Safa 5,,Villanova Amaranta ,,IMG World Adventures,,,4 B/R,0,228.33,1534000.0,6718.35,2020.0,12.0,31.0,Central,25.08232101,55.36365192
698130,1-102-2024-106,Sales,Sell - Pre registration,2024-01-03,Unit,Flat,Residential,Off-Plan Properties,Business Bay,Ahad Residences,Ahad Residences,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Studio,1,42.37,1050000.0,24781.69,2024.0,1.0,3.0,Unknown,25.18762593,55.27989946
1378940,1-41-2013-285,Sales,Delayed Sell,2013-02-25,Unit,Flat,Residential,Existing Properties,Al Thanyah Fifth,JHCEE,JUMEIRAH HEIGHTS CLUSTERS,Jumeirah Heights,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,3 B/R,1,268.34,2271400.0,8464.63,2013.0,2.0,25.0,West,25.051959,55.15578
617531,1-11-2019-7806,Sales,Sell,2019-08-28,Villa,,Residential,Existing Properties,Wadi Al Safa 6,,,Arabian Ranches - Mirador,Global Village,,,,0,767.1,3290000.0,4288.88,2019.0,8.0,28.0,Central,25.05482178,55.27089764
1351253,1-41-2017-135,Sales,Delayed Sell,2017-01-17,Villa,,Commercial,Existing Properties,Al Yufrah 2,,DAMAC HILLS (2) - VARDON ,DAMAC HILLS 2,Dubai Cycling Course,,,,0,112.24,999999.0,8909.47,2017.0,1.0,17.0,South,24.96525116,55.39088193
357759,2-110-2014-1543,Mortgages,Lease to Own Registration,2014-08-12,Unit,Flat,Residential,Existing Properties,Burj Khalifa,Al NOUJOUM TOWER,BURJ AL NUJOOM,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Studio,1,42.03,469398.0,11168.17,2014.0,8.0,12.0,Unknown,25.19005375,55.27814093
567860,1-102-2025-15040,Sales,Sell - Pre registration,2025-02-25,Villa,Villa,Residential,Off-Plan Properties,Nad Al Shiba First,,Nad Al Sheba Gardens Phase 7,,,,,3 B/R,0,182.0,5285000.0,29038.46,2025.0,2.0,25.0,Unknown,25.14725852,55.30501384
1197182,1-102-2008-17277,Sales,Sell - Pre registration,2010-03-03,Unit,Flat,Residential,Off-Plan Properties,Burj Khalifa,BD 29 BLVD T2,29 BOULEVARD,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,78.32,2810888.0,35889.79,2010.0,3.0,3.0,Unknown,25.19005375,55.27814093
824110,1-102-2021-4478,Sales,Sell - Pre registration,2021-04-12,Unit,Flat,Residential,Off-Plan Properties,Al Thanyah Fifth,Seven City JLT,SEVEN CITY JLT,Jumeirah Islands,Burj Al Arab,Damac Properties,Marina Mall,Studio,1,35.99,401656.0,11160.21,2021.0,4.0,12.0,West,25.051959,55.15578
123135,1-41-2010-5508,Sales,Delayed Sell,2010-07-12,Land,,Commercial,Existing Properties,Al Thanyah Fifth,,,Jumeirah Lakes Towers,,,,,0,535.29,2360700.0,4410.13,2010.0,7.0,12.0,West,25.051959,55.15578
3087,2-13-2011-3903,Mortgages,Mortgage Registration,2011-07-21,Villa,,Residential,Existing Properties,Al Hebiah Fourth,,VICTORY HEIGHTS,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,,0,612.97,2080000.0,3393.31,2011.0,7.0,21.0,Central,25.03502194,55.21354639
495174,1-11-2016-2673,Sales,Sell,2016-03-07,Unit,Flat,Residential,Existing Properties,Me'Aisem First,LAKESIDE B,LAKESIDE,International Media Production Zone,Sports City Swimming Academy,Damac Properties,Marina Mall,Studio,1,33.93,380000.0,11199.53,2016.0,3.0,7.0,Unknown,25.0177834,55.18312486
1096522,1-11-2010-15624,Sales,Sell,2010-10-25,Unit,Flat,Residential,Existing Properties,Jabal Ali,MOG 207,,Discovery Gardens,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,1 B/R,0,88.0,350000.0,3977.27,2010.0,10.0,25.0,Unknown,25.01126,55.06116
582767,1-11-2015-8541,Sales,Sell,2015-05-26,Unit,Flat,Residential,Existing Properties,Al Thanyah Fifth,ARMADA 1,ARMADA TOWERS,Jumeirah Lakes Towers,Burj Al Arab,Marina Mall Metro Station,Marina Mall,1 B/R,1,81.71,1080000.0,13217.48,2015.0,5.0,26.0,West,25.051959,55.15578
1146749,1-102-2023-59875,Sales,Sell - Pre registration,2023-11-10,Unit,Flat,Residential,Off-Plan Properties,Madinat Dubai Almelaheyah,Clearpoint Building -3,Clearpoint,Mina Rashid,,,,2 B/R,1,126.65,2291888.0,18096.23,2023.0,11.0,10.0,Unknown,25.266914,55.266119
837942,1-110-2009-221,Sales,Lease to Own Registration,2009-09-16,Villa,,Residential,Existing Properties,Mirdif,,,,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,,0,929.03,3300000.0,3552.09,2009.0,9.0,16.0,North,25.22331903,55.42166405
1223481,1-11-2013-6483,Sales,Sell,2013-03-04,Unit,Flat,Residential,Existing Properties,Al Thanyah Third,AL ARTA 3,,The Greens,Burj Al Arab,Dubai Internet City,Marina Mall,1 B/R,1,74.34,950000.0,12779.12,2013.0,3.0,4.0,West,25.094255,55.161612
756994,1-41-2010-8447,Sales,Delayed Sell,2015-07-20,Villa,Villa,Residential,Existing Properties,Al Thanayah Fourth,,Emirates Living - Springs 7,Springs - 3,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,3 B/R,0,255.0,1534314.0,6016.92,2015.0,7.0,20.0,Unknown,25.06366745,55.1623514
1026772,1-102-2025-7482,Sales,Sell - Pre registration,2025-01-31,Unit,Flat,Residential,Off-Plan Properties,Al Barsha South Fourth,SERENO RESIDENCES,Sereno Residences,Jumeirah Village Circle,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1 B/R,1,87.05,1100975.0,12647.62,2025.0,1.0,31.0,Central,25.05936493,55.21207713
852867,1-102-2022-1618,Sales,Sell - Pre registration,2022-01-17,Unit,Flat,Residential,Off-Plan Properties,Al Warsan First,Tabeer 1,Tabeer 1,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,Studio,1,39.41,400000.0,10149.71,2022.0,1.0,17.0,Unknown,25.1599767,55.4246648
925739,1-102-2022-11015,Sales,Sell - Pre registration,2022-04-26,Villa,Villa,Residential,Off-Plan Properties,Wadi Al Safa 5,,Arabian Ranches lll - Bliss 2,,,,,3 B/R,0,128.98,2027888.0,15722.5,2022.0,4.0,26.0,Central,25.08232101,55.36365192
788145,1-41-2020-1373,Sales,Delayed Sell,2020-03-09,Villa,,Residential,Existing Properties,Jabal Ali First,,GardeniaTownHomes @ wasl gate,Wasl Gate,Expo 2020 Site,ENERGY Metro Station,Ibn-e-Battuta Mall,,0,325.93,2359590.0,7239.56,2020.0,3.0,9.0,Unknown,25.03192836,55.14232708
940151,2-110-2022-376,Mortgages,Lease to Own Registration,2022-09-02,Unit,Flat,Residential,Existing Properties,Palm Jumeirah,FIVE AT PALM JUMEIRAH DUBAI,VICEROY HOTEL RESORTS RESIDENCES,Palm Jumeirah,Burj Al Arab,Palm Jumeirah,Marina Mall,3 B/R,1,593.74,11700000.0,19705.6,2022.0,9.0,2.0,West,25.1193271,55.1317401
972090,1-102-2023-17228,Sales,Sell - Pre registration,2023-04-07,Unit,Flat,Residential,Off-Plan Properties,Hadaeq Sheikh Mohammed Bin Rashid,Elvira 2,Elvira,DUBAI HILLS,,,,3 B/R,1,155.41,3769888.0,24257.69,2023.0,4.0,7.0,Central,25.1053253,55.26733804
1285217,1-11-2008-102384,Sales,Sell,2008-12-23,Villa,Villa,Residential,Existing Properties,Wadi Al Safa 6,,,Arabian Ranches - Palmera - II,Motor City,,,3 B/R,0,385.12,1297888.0,3370.09,2008.0,12.0,23.0,Central,25.05482178,55.27089764
188529,1-102-2024-50812,Sales,Sell - Pre registration,2024-07-16,Unit,Flat,Residential,Off-Plan Properties,Me'Aisem First,Samana Lake Views,Samana Lake Views,International Media Production Zone,Sports City Swimming Academy,Damac Properties,Marina Mall,Studio,1,38.69,683229.0,17659.07,2024.0,7.0,16.0,Unknown,25.0177834,55.18312486
401487,1-102-2024-12458,Sales,Sell - Pre registration,2024-02-29,Unit,Flat,Residential,Off-Plan Properties,Al Hebiah Fourth,Sportz By Danube - 1,Sportz By Danube ,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,67.04,1022000.0,15244.63,2024.0,2.0,29.0,Central,25.03502194,55.21354639
850423,1-102-2023-8364,Sales,Sell - Pre registration,2023-02-22,Unit,Flat,Residential,Off-Plan Properties,Marsa Dubai,LIV LUX,LIV LUX,Dubai Marina,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,1 B/R,1,74.67,2629548.0,35215.59,2023.0,2.0,22.0,Unknown,25.09547176,55.13076456
691727,3-9-2017-2862,Gifts,Grant,2017-12-28,Unit,Office,Commercial,Existing Properties,Burj Khalifa,BLVD PLAZA T1,BD BOULEVARD PLAZA,Burj Khalifa,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Office,1,303.45,7185872.0,23680.58,2017.0,12.0,28.0,Unknown,25.19005375,55.27814093
789030,2-371-2014-7,Mortgages,Lease Development Registration,2014-03-04,Unit,Flat,Residential,Existing Properties,Nadd Hessa,JADE RESIDENCE,JADE RESIDENCE,Silicon Oasis,IMG World Adventures,,,3 B/R,1,143.95,775000.0,5383.81,2014.0,3.0,4.0,Unknown,25.12321,55.386619
1367791,2-190-2022-902,Mortgages,Delayed Mortgage,2022-07-27,Unit,Flat,Residential,Existing Properties,Hadaeq Sheikh Mohammed Bin Rashid,PARK RIDGE TOWER C,PARK RIDGE,DUBAI HILLS - PARK,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,2 B/R,1,91.93,1264000.0,13749.59,2022.0,7.0,27.0,Central,25.1053253,55.26733804
1360314,1-11-2015-2307,Sales,Sell,2015-02-04,Villa,,Residential,Existing Properties,Al Thanayah Fourth,,,Emirates Hills,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,,0,2061.8,34000000.0,16490.45,2015.0,2.0,4.0,Unknown,25.06366745,55.1623514
122314,1-102-2023-30762,Sales,Sell - Pre registration,2023-07-04,Unit,Flat,Residential,Off-Plan Properties,Zaabeel Second,Design Quarter - Tower A,DESIGN QUARTER,Business Park,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,76.43,1885000.0,24663.09,2023.0,7.0,4.0,Unknown,25.1988826,55.29829935
438255,2-13-2021-3880,Mortgages,Mortgage Registration,2021-04-09,Unit,Flat,Residential,Existing Properties,Al Hebiah Fifth,AL THAMAM 3,REMRAAM,Remraam,Motor City,,,2 B/R,1,103.03,480000.0,4658.84,2021.0,4.0,9.0,Central,25.00242864,55.24042905
1361274,2-13-2013-6892,Mortgages,Mortgage Registration,2013-10-08,Unit,Flat,Residential,Existing Properties,Burj Khalifa,BD Standpoint B,DD STAND POINT,Burj Khalifa,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,76.85,1312500.0,17078.72,2013.0,10.0,8.0,Unknown,25.19005375,55.27814093
1151597,1-102-2023-32273,Sales,Sell - Pre registration,2023-07-07,Unit,Flat,Residential,Off-Plan Properties,Al Barsha South Fifth,SESLIA TOWER,Seslia Tower,Jumeirah Village Triangle,Sports City Swimming Academy,Damac Properties,Marina Mall,2 B/R,1,91.3,1030000.0,11281.49,2023.0,7.0,7.0,Central,25.04291825,55.18747333
644694,1-11-2013-2638,Sales,Sell,2013-01-28,Unit,Flat,Residential,Existing Properties,Palm Jumeirah,THE RESIDENCES SOUTH,FAIRMONT PALM RESIDENCE,Palm Jumeirah,Burj Al Arab,Palm Jumeirah,Marina Mall,PENTHOUSE,1,447.63,6000000.0,13403.93,2013.0,1.0,28.0,West,25.1193271,55.1317401
244286,1-11-2011-640,Sales,Sell,2011-01-17,Unit,Flat,Residential,Existing Properties,Al Thanyah Third,ALJAZ 2,,The Greens,Burj Al Arab,Dubai Internet City,Marina Mall,2 B/R,1,130.82,1530000.0,11695.46,2011.0,1.0,17.0,West,25.094255,55.161612
504173,1-11-2013-2603,Sales,Sell,2013-01-28,Unit,Flat,Residential,Existing Properties,Al Thanyah Fifth,Goldcrest Views,,Jumeirah Lakes Towers,Burj Al Arab,Damac Properties,Marina Mall,2 B/R,1,127.47,1225000.0,9610.1,2013.0,1.0,28.0,West,25.051959,55.15578
1288462,1-102-2010-530,Sales,Sell - Pre registration,2010-02-02,Unit,Flat,Residential,Off-Plan Properties,Me'Aisem First,LAGO VISTA-B,LAGO VISTA,International Media Production Zone,Sports City Swimming Academy,Damac Properties,Marina Mall,Studio,1,47.75,557000.0,11664.92,2010.0,2.0,2.0,Unknown,25.0177834,55.18312486
778050,1-102-2007-30559,Sales,Sell - Pre registration,2009-06-02,Unit,Flat,Residential,Off-Plan Properties,Marsa Dubai,Sulafa Tower,SULAFA TOWER,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,111.76,1371420.0,12271.12,2009.0,6.0,2.0,Unknown,25.09547176,55.13076456
1128929,1-102-2019-5985,Sales,Sell - Pre registration,2019-04-30,Unit,Flat,Residential,Off-Plan Properties,Al Merkadh,Azizi Riviera 13,Azizi Riviera 13,Meydan One Community,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,66.95,684000.0,10216.58,2019.0,4.0,30.0,Unknown,25.16984676,55.29268975
1022674,1-41-2010-5038,Sales,Delayed Sell,2013-05-21,Unit,Flat,Residential,Existing Properties,Al Thanyah Third,VIEWS 1,,The Greens,Burj Al Arab,Nakheel Metro Station,Marina Mall,2 B/R,0,133.92,900000.0,6720.43,2013.0,5.0,21.0,West,25.094255,55.161612
755126,1-102-2007-11251,Sales,Sell - Pre registration,2009-07-28,Unit,Flat,Residential,Off-Plan Properties,Al Thanyah Fifth,Dubai Star,DUBAI STAR,Jumeirah Islands,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,1 B/R,1,85.77,840180.0,9795.73,2009.0,7.0,28.0,West,25.051959,55.15578
1106720,1-102-2024-33061,Sales,Sell - Pre registration,2024-05-17,Unit,Flat,Residential,Off-Plan Properties,Al Khairan First,The Cove II Building 5,The Cove ll,The Lagoons,Dubai International Airport,Creek Metro Station,Dubai Mall,3 B/R,1,173.79,4300000.0,24742.51,2024.0,5.0,17.0,North_Central,25.19564786,55.36033252
628996,1-11-2010-6225,Sales,Sell,2010-04-28,Unit,Flat,Residential,Existing Properties,Jabal Ali,MED 79,,Discovery Gardens,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,1 B/R,0,77.0,500000.0,6493.51,2010.0,4.0,28.0,Unknown,25.01126,55.06116
1280103,1-11-2024-30992,Sales,Sell,2024-08-22,Land,,Industrial,Existing Properties,Saih Shuaib 4,,,Dubai Industrial City,,,,,0,496.87,158029.0,318.05,2024.0,8.0,22.0,South_west,24.81213885,55.1054034
1348577,1-102-2024-21148,Sales,Sell - Pre registration,2024-04-03,Unit,Flat,Residential,Off-Plan Properties,Al Hebiah Fifth,LAGOON VIEWS 2 - TOWER A,DAMAC LAGOONS - LAGOON VIEWS 2,,,,,2 B/R,1,104.52,1678000.0,16054.34,2024.0,4.0,3.0,Central,25.00242864,55.24042905
420475,1-11-2017-9210,Sales,Sell,2017-07-17,Unit,Flat,Residential,Existing Properties,Al Thanyah Fifth,Lakeside,LAKESIDE RESIDENCE,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,1 B/R,1,74.4,1116000.0,15000.0,2017.0,7.0,17.0,West,25.051959,55.15578
1377076,1-11-2024-7563,Sales,Sell,2024-02-29,Land,,Commercial,Existing Properties,Madinat Hind 4,,DAMAC HILLS (2) - ZINNIA ,DAMAC HILLS 2,,,,,0,174.8,1480000.0,8466.82,2024.0,2.0,29.0,South,24.9981931,55.37157657
1268309,1-11-2010-12217,Sales,Sell,2010-08-09,Unit,Flat,Residential,Existing Properties,Al Thanyah Fifth,Lakepoint N2,,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,1 B/R,1,79.06,434546.0,5496.41,2010.0,8.0,9.0,West,25.051959,55.15578
412724,1-11-1998-390,Sales,Sell,1998-05-21,Land,,Commercial,Existing Properties,Um Suqaim,,,,,,,,0,2229.67,2880000.0,1291.67,1998.0,5.0,21.0,Unknown,25.16362,55.21454
1424160,2-44-2021-386,Mortgages,Mortgage Transfer,2021-01-14,Unit,Flat,Residential,Existing Properties,Jabal Ali,MED 94,,Discovery Gardens,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,1 B/R,0,89.0,390000.0,4382.02,2021.0,1.0,14.0,Unknown,25.01126,55.06116
189277,1-102-2024-15903,Sales,Sell - Pre registration,2024-03-13,Unit,Flat,Residential,Off-Plan Properties,Al Yelayiss 2,Grove on the Park,Grove ,TOWN SQUARE,Dubai Cycling Course,,,3 B/R,1,183.8,1874888.0,10200.7,2024.0,3.0,13.0,Unknown,24.99404911,55.29142486
1277097,1-102-2017-16535,Sales,Sell - Pre registration,2017-08-21,Unit,Flat,Residential,Off-Plan Properties,Jabal Ali First,AZIZI TULIP,AZIZI. TULIP,Al Furjan,Sports City Swimming Academy,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,2 B/R,1,112.96,1188745.0,10523.6,2017.0,8.0,21.0,Unknown,25.03192836,55.14232708
707084,1-11-2025-5808,Sales,Sell,2025-02-12,Unit,Flat,Residential,Existing Properties,Al Barsha South Fifth,LA RESIDENCE,,Jumeirah Village Triangle,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,1 B/R,1,80.15,900000.0,11228.95,2025.0,2.0,12.0,Central,25.04291825,55.18747333
809164,1-41-2022-21353,Sales,Delayed Sell,2022-12-05,Unit,Flat,Residential,Existing Properties,Hadaeq Sheikh Mohammed Bin Rashid,EXECUTIVE RESIDENCES 2,PARK RIDGE,DUBAI HILLS - PARK,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,2 B/R,1,93.91,1900000.0,20232.14,2022.0,12.0,5.0,Central,25.1053253,55.26733804
1288190,1-11-2017-211,Sales,Sell,2017-01-05,Unit,Flat,Residential,Existing Properties,Burj Khalifa,South Ridge 5,,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,3 B/R,1,175.77,2500000.0,14223.13,2017.0,1.0,5.0,Unknown,25.19005375,55.27814093
735121,1-11-2015-10688,Sales,Sell,2015-08-05,Unit,Flat,Residential,Existing Properties,Marsa Dubai,Sadaf 6,,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,2 B/R,1,132.52,865000.0,6527.32,2015.0,8.0,5.0,Unknown,25.09547176,55.13076456
1124966,2-13-1998-150,Mortgages,Mortgage Registration,1999-04-12,Land,,Industrial,Existing Properties,Al Qusais,,,,,,,,0,4347.86,5000000.0,1149.99,1999.0,4.0,12.0,Unknown,25.278,55.372
1274828,1-11-2024-16316,Sales,Sell,2024-05-10,Villa,,Residential,Existing Properties,Al Thanyah Fifth,,JUMEIRAH PARK ,Jumeirah Park,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,,0,806.15,7800000.0,9675.62,2024.0,5.0,10.0,West,25.051959,55.15578
33269,1-102-2017-3689,Sales,Sell - Pre registration,2017-02-21,Unit,Flat,Residential,Off-Plan Properties,Al Khairan First,CREEK HORIZON TOWER 1,CREEK HORIZON,The Lagoons,Dubai International Airport,Creek Metro Station,City Centre Mirdif,1 B/R,1,71.61,1157888.0,16169.36,2017.0,2.0,21.0,North_Central,25.19564786,55.36033252
465788,1-11-2013-25370,Sales,Sell,2013-08-26,Unit,Flat,Residential,Existing Properties,Al Thanyah Third,The Fairways East Tower,,The Greens,Burj Al Arab,Nakheel Metro Station,Marina Mall,1 B/R,1,78.69,743888.0,9453.4,2013.0,8.0,26.0,West,25.094255,55.161612
